month,total_mln,n_banks,change_mln,growing,streak
2023-06,17023052,20,,False,0
2023-07,17764264,20,741212.0,True,1
2023-08,18006877,20,242613.0,True,2
2023-09,17860051,20,-146826.0,False,0
2023-10,17763341,20,-96710.0,False,0
2023-11,17905524,20,142183.0,True,1
2023-12,18766231,20,860707.0,True,2
2024-01,18797532,20,31301.0,True,3
2024-02,18982711,20,185179.0,True,4
2024-03,18894510,20,-88201.0,False,0
2024-04,18709949,20,-184561.0,False,0
2024-05,18944051,20,234102.0,True,1
2024-06,18893120,20,-50931.0,False,0
2024-07,18971155,20,78035.0,True,1
2024-08,19154246,20,183091.0,True,2
2024-09,19439809,20,285563.0,True,3
2024-10,19660567,20,220758.0,True,4
2024-11,20201625,20,541058.0,True,5
2024-12,23170534,20,2968909.0,True,6
2025-01,23099242,20,-71292.0,False,0
2025-02,23163553,20,64311.0,True,1
2025-03,22806711,20,-356842.0,False,0
2025-04,23070793,20,264082.0,True,1
2025-05,23180912,20,110119.0,True,2
2025-06,23597286,20,416374.0,True,3
2025-07,24062951,20,465665.0,True,4
2025-08,24410126,20,347175.0,True,5
2025-09,24293914,20,-116212.0,False,0
2025-10,24633173,20,339259.0,True,1
2025-11,26100633,20,1467460.0,True,2
2025-12,26456767,20,356134.0,True,3
2026-01,26298107,20,-158660.0,False,0
2026-02,26762028,20,463921.0,True,1
2026-03,26748541,20,-13487.0,False,0
2026-04,26817491,20,68950.0,True,1
